step,reward,kl,grad_norm,loss,learning_rate,completion_length,step_time,epoch
0,0.6455,0,0.04932,-3.006e-06,0,260.4,104.3,0.008929
1,0.6529,0,0.06494,-1.565e-07,1.111e-05,251.3,94,0.01786
2,0.6566,0.0005587,0.05688,5.667e-05,2.222e-05,260.4,102.3,0.02679
3,0.6493,0.0004443,0.0603,4.394e-05,3.333e-05,248.2,87.94,0.03571
4,0.6694,0.0006027,0.04932,6.161e-05,4.444e-05,266.8,85.5,0.04464
5,0.6408,0.0007192,0.09961,7.207e-05,5.556e-05,254.2,94.18,0.05357
6,0.6565,0.000898,0.06934,8.933e-05,6.667e-05,287.8,116.4,0.0625
7,0.6579,0.0009463,0.04712,9.478e-05,7.778e-05,267.7,94.59,0.07143
8,0.666,0.001114,0.04639,0.0001108,8.889e-05,247.9,96.93,0.08036
9,0.6679,0.001824,0.05005,0.0001819,0.0001,279.5,104,0.08929
10,0.6798,0.003482,0.05225,0.0003482,0.0001,278.2,121.6,0.09821
11,0.6513,0.008323,0.1328,0.0008272,9.999e-05,240.2,99.26,0.1071
12,0.6688,0.008173,0.1099,0.0008175,9.997e-05,245.8,77.01,0.1161
13,0.6754,0.006375,0.08105,0.0006393,9.995e-05,266.1,98.23,0.125
14,0.6874,0.01071,0.05005,0.001072,9.992e-05,288,113.7,0.1339
15,0.7087,0.01081,0.06396,0.001081,9.988e-05,330.9,120.7,0.1429
16,0.6843,0.01197,0.06055,0.001197,9.984e-05,297.2,95.71,0.1518
17,0.6939,0.0116,0.05835,0.00116,9.979e-05,273.4,127.2,0.1607
18,0.6947,0.01326,0.08203,0.001325,9.973e-05,302.2,126.3,0.1696
19,0.6821,0.02436,0.05713,0.00244,9.966e-05,297.1,101.3,0.1786
20,0.7149,0.009717,0.0437,0.0009755,9.959e-05,335.1,131.4,0.1875
21,0.7137,0.03161,0.1152,0.003161,9.952e-05,282.9,103.2,0.1964
22,0.7057,0.01792,0.04688,0.001793,9.943e-05,292,104.1,0.2054
23,0.7059,0.01501,0.05127,0.001501,9.934e-05,287.7,96.97,0.2143
24,0.6978,0.01452,0.05103,0.001452,9.925e-05,305.2,110.6,0.2232
25,0.6791,0.01148,0.0498,0.001147,9.914e-05,338.6,118.8,0.2321
26,0.7055,0.01342,0.04736,0.001344,9.903e-05,290,91.37,0.2411
27,0.6932,0.01591,0.09033,0.001592,9.892e-05,294.3,107.5,0.25
28,0.7027,0.02925,0.1157,0.002925,9.879e-05,320.1,113.2,0.2589
29,0.677,0.01121,0.05151,0.001121,9.866e-05,278.4,104.1,0.2679
30,0.6803,0.007114,0.05713,0.0007117,9.853e-05,286.1,97.25,0.2768
31,0.6923,0.005013,0.05396,0.000501,9.838e-05,254.9,89.85,0.2857
32,0.6813,0.005213,0.05298,0.0005189,9.823e-05,274.9,96.05,0.2946
33,0.6578,0.009155,0.05835,0.0009157,9.808e-05,246.9,87.48,0.3036
34,0.6799,0.009433,0.05078,0.0009432,9.791e-05,296.6,109.6,0.3125
35,0.6703,0.008081,0.06006,0.0008094,9.775e-05,284.8,98.91,0.3214
36,0.6598,0.01283,0.07031,0.001283,9.757e-05,293.6,113.5,0.3304
37,0.6762,0.01142,0.0564,0.001141,9.739e-05,304.7,130.5,0.3393
38,0.6871,0.01279,0.04956,0.00128,9.72e-05,286.2,99.76,0.3482
39,0.676,0.01526,0.05762,0.001525,9.701e-05,278.4,96.75,0.3571
40,0.6863,0.01245,0.04492,0.001245,9.681e-05,305.2,96.66,0.3661
41,0.6981,0.01649,0.0415,0.001649,9.66e-05,325,124.6,0.375
42,0.692,0.01751,0.04688,0.001752,9.639e-05,314.4,100,0.3839
43,0.6901,0.02383,0.05347,0.002386,9.617e-05,313.9,114.8,0.3929
44,0.7006,0.01971,0.05298,0.001969,9.594e-05,337.2,123.3,0.4018
45,0.698,0.02172,0.0459,0.002174,9.571e-05,298.9,114.2,0.4107
46,0.7248,0.02465,0.0481,0.002465,9.547e-05,337.8,128.3,0.4196
47,0.7045,0.02869,0.0542,0.00286,9.523e-05,337.5,123.7,0.4286
48,0.6995,0.02126,0.06104,0.002129,9.498e-05,332.4,105.8,0.4375
49,0.6897,0.02267,0.0481,0.002268,9.472e-05,329.5,115.9,0.4464
50,0.7227,0.01549,0.06641,0.00155,9.446e-05,363.2,129,0.4554
51,0.7156,0.01511,0.04053,0.001511,9.419e-05,362.4,118.2,0.4643
52,0.7064,0.01655,0.07715,0.001658,9.392e-05,337.8,123,0.4732
53,0.6948,0.01294,0.05811,0.001294,9.364e-05,310.9,115.4,0.4821
54,0.7135,0.02127,0.05591,0.002127,9.335e-05,289.1,87.35,0.4911
55,0.7008,0.02561,0.0957,0.002562,9.306e-05,309.6,129.1,0.5
56,0.716,0.01937,0.06885,0.001939,9.276e-05,287.4,101.6,0.5089
57,0.7289,0.01933,0.05811,0.001934,9.246e-05,297.8,95.11,0.5179
58,0.7003,0.01518,0.05054,0.001519,9.215e-05,320.1,116.5,0.5268
59,0.7071,0.0183,0.05347,0.00183,9.183e-05,286.1,106.3,0.5357
60,0.703,0.02202,0.06592,0.002203,9.151e-05,329.9,117.7,0.5446
61,0.714,0.02507,0.06641,0.002507,9.119e-05,306.8,100.9,0.5536
62,0.6922,0.03367,0.07422,0.003367,9.086e-05,328.9,128.2,0.5625
63,0.7031,0.01888,0.05151,0.001888,9.052e-05,315.1,109.7,0.5714
64,0.7114,0.01262,0.05566,0.001264,9.018e-05,330.2,128.2,0.5804
65,0.7012,0.01346,0.04321,0.001343,8.983e-05,314.8,106.4,0.5893
66,0.6893,0.01417,0.04858,0.001417,8.948e-05,323.6,129.5,0.5982
67,0.7063,0.01494,0.05542,0.001494,8.912e-05,291.5,95.98,0.6071
68,0.709,0.01637,0.06006,0.001638,8.875e-05,284.4,105.7,0.6161
69,0.6678,0.01099,0.05249,0.001098,8.838e-05,277.3,101.9,0.625
70,0.6768,0.01156,0.05225,0.001156,8.801e-05,297.6,108.6,0.6339
71,0.6712,0.01319,0.04932,0.001321,8.763e-05,303.2,108.8,0.6429
72,0.7088,0.01115,0.0481,0.001116,8.725e-05,311.1,113,0.6518
73,0.6877,0.01178,0.0498,0.001179,8.686e-05,303.9,133.5,0.6607
74,0.6926,0.00951,0.05688,0.0009485,8.646e-05,327.9,114.3,0.6696
75,0.6855,0.01151,0.0481,0.001151,8.607e-05,285.5,133.1,0.6786
76,0.6895,0.008921,0.04663,0.0008911,8.566e-05,317.8,119.6,0.6875
77,0.6729,0.01211,0.04956,0.001213,8.525e-05,302.1,101.8,0.6964
78,0.6923,0.01549,0.05615,0.001549,8.484e-05,304.6,102.5,0.7054
79,0.6882,0.008864,0.05981,0.0008862,8.442e-05,309.6,129.3,0.7143
80,0.6808,0.01231,0.04346,0.001231,8.4e-05,274.4,97.02,0.7232
81,0.7054,0.01649,0.06226,0.00165,8.357e-05,304.9,100.2,0.7321
82,0.6835,0.01201,0.05664,0.001201,8.314e-05,264.1,109.1,0.7411
83,0.7087,0.01119,0.05713,0.00112,8.27e-05,276.9,97.25,0.75
84,0.6832,0.0152,0.05273,0.001519,8.226e-05,273.1,94.2,0.7589
85,0.7017,0.01716,0.05688,0.001718,8.182e-05,265.1,93.58,0.7679
86,0.7133,0.01812,0.05127,0.001812,8.137e-05,300.6,123.6,0.7768
87,0.6909,0.01635,0.05151,0.001636,8.091e-05,304,102.4,0.7857
88,0.7202,0.01685,0.1309,0.001686,8.046e-05,279.3,89.76,0.7946
89,0.7046,0.01527,0.04468,0.001526,8e-05,293.1,106.1,0.8036
90,0.7118,0.01221,0.0498,0.00122,7.953e-05,293.2,93.65,0.8125
91,0.7089,0.02092,0.04688,0.002092,7.906e-05,315.8,118.1,0.8214
92,0.7035,0.0241,0.05103,0.002411,7.859e-05,297.9,106.9,0.8304
93,0.7184,0.01359,0.04736,0.001359,7.811e-05,332.9,110.4,0.8393
