step,reward,reward_std,kl,entropy,grad_norm,loss,learning_rate,completion_length,clip_high,clip_low,step_time,epoch
0,0.6459,0.02492,0,0.3237,0.0498,5.891e-07,0,264.4,0,0,77.54,0.004444
1,0.6522,0.03306,0,0.3285,0.08838,1.441e-06,7.143e-06,255.2,0,0,85.37,0.008889
2,0.6485,0.02735,0.0005666,0.3488,0.06006,5.606e-05,1.429e-05,241.3,0,0,76.73,0.01333
3,0.6481,0.02522,0.0005172,0.3467,0.0791,5.094e-05,2.143e-05,285.8,0,0,94.11,0.01778
4,0.6519,0.02952,0.0005888,0.3494,0.06641,5.916e-05,2.857e-05,264.4,0,0,88.87,0.02222
5,0.6379,0.01618,0.0005373,0.3202,0.0603,5.403e-05,3.571e-05,253.7,0,0,120.7,0.02667
6,0.6371,0.01845,0.0006275,0.2901,0.06885,6.323e-05,4.286e-05,232.6,0,0,70.3,0.03111
7,0.6493,0.03104,0.0007723,0.3151,0.05493,7.739e-05,5e-05,279.1,0,0,87.54,0.03556
8,0.6572,0.02588,0.0009171,0.3031,0.07324,9.166e-05,5.714e-05,250,0,0,94.26,0.04
9,0.6636,0.03113,0.00116,0.3388,0.06641,0.0001157,6.429e-05,301.2,0,0,122.3,0.04444
10,0.6793,0.03804,0.001673,0.2891,0.06494,0.0001675,7.143e-05,279.2,0,0,107.4,0.04889
11,0.6637,0.03541,0.003174,0.3385,0.06348,0.0003166,7.857e-05,286.9,0,0,112.4,0.05333
12,0.6808,0.02631,0.004571,0.296,0.05908,0.0004572,8.571e-05,313.9,0,0,124.5,0.05778
13,0.6962,0.04472,0.007897,0.3911,0.06396,0.0007896,9.286e-05,344.4,0,0,125.2,0.06222
14,0.7084,0.03318,0.009167,0.276,0.06445,0.0009172,0.0001,339.6,0,0,125.5,0.06667
15,0.6833,0.04223,0.01552,0.3191,0.06128,0.001553,0.0001,361.6,0,0,123.6,0.07111
16,0.7057,0.03785,0.02207,0.2889,0.07764,0.002208,9.999e-05,354.2,0,0,114.9,0.07556
17,0.6866,0.04177,0.02046,0.4112,0.05469,0.002045,9.999e-05,418.8,0,0,126.4,0.08
18,0.6849,0.03635,0.02036,0.4583,0.06396,0.002037,9.998e-05,412.3,0,0,125.3,0.08444
19,0.7023,0.04055,0.0212,0.3939,0.05835,0.00212,9.997e-05,461.7,0,0,124.6,0.08889
20,0.7004,0.03933,0.02697,0.3635,0.05615,0.002697,9.995e-05,440.1,0,0,125.1,0.09333
21,0.6995,0.02847,0.02865,0.3807,0.04932,0.002866,9.994e-05,430.1,0,0,124.3,0.09778
22,0.6965,0.0328,0.02801,0.3825,0.05811,0.0028,9.992e-05,419.4,0,0,126.7,0.1022
23,0.6964,0.03802,0.02814,0.4364,0.05127,0.002814,9.989e-05,431.8,0,0,126.7,0.1067
24,0.7141,0.03164,0.03759,0.4096,0.06152,0.003758,9.987e-05,405.2,0,0,124.9,0.1111
25,0.7075,0.03999,0.04946,0.4328,0.1133,0.004946,9.984e-05,424.8,0,0,122.8,0.1156
26,0.7214,0.03581,0.04204,0.426,0.06104,0.004204,9.981e-05,411.6,0,0,124.1,0.12
27,0.687,0.02849,0.04344,0.4846,0.09619,0.004343,9.978e-05,445.2,0,0,126.7,0.1244
28,0.6954,0.1272,0.02202,0.42,0.09277,0.002202,9.974e-05,417.2,0,0,126.2,0.1289
29,0.7237,0.04261,0.02427,0.4666,0.04688,0.002428,9.971e-05,457.1,0,0,125.4,0.1333
30,0.7071,0.04404,0.01905,0.6006,0.04883,0.001905,9.967e-05,487.8,0,0,128.5,0.1378
31,0.7267,0.0302,0.0218,0.4789,0.05518,0.002181,9.962e-05,412.7,0,0,123.8,0.1422
32,0.7292,0.03718,0.02086,0.4436,0.04468,0.002085,9.958e-05,431.8,0,0,122.4,0.1467
33,0.7151,0.03898,0.02914,0.3772,0.05371,0.002914,9.953e-05,379.2,0,0,114,0.1511
34,0.6992,0.03677,0.02834,0.391,0.05444,0.002834,9.948e-05,403.7,0,0,123.5,0.1556
35,0.707,0.03872,0.02924,0.4182,0.04492,0.002924,9.942e-05,384.4,0,0,119,0.16
36,0.7224,0.0333,0.01795,0.367,0.0481,0.001795,9.937e-05,400.9,0,0,122.8,0.1644
37,0.7027,0.03978,0.01486,0.3434,0.05078,0.001487,9.931e-05,390.4,0,0,118.4,0.1689
38,0.7034,0.02509,0.02411,0.3525,0.04858,0.002411,9.925e-05,358.5,0,0,119.7,0.1733
39,0.7028,0.03302,0.03229,0.3354,0.08154,0.00323,9.918e-05,340.6,0,0,117.2,0.1778
40,0.6731,0.0249,0.01493,0.3654,0.05664,0.001492,9.912e-05,324.1,0,0,107.7,0.1822
41,0.7112,0.04212,0.01386,0.4036,0.05054,0.001386,9.905e-05,349.5,0,0,108.5,0.1867
42,0.7143,0.04591,0.01519,0.3514,0.06543,0.001519,9.898e-05,322.7,0,0,123.4,0.1911
43,0.7007,0.04321,0.01973,0.3211,0.06348,0.001973,9.89e-05,330.1,0,0,110,0.1956
44,0.6841,0.04503,0.01516,0.3726,0.06396,0.001516,9.883e-05,302.1,0,0,111.1,0.2
45,0.7033,0.03614,0.01909,0.3486,0.08887,0.001909,9.875e-05,324.6,0,0,105,0.2044
46,0.6929,0.04523,0.02038,0.3164,0.07178,0.002038,9.866e-05,291.1,0,0,94.69,0.2089
