step,epoch,reward,reward_std,loss,kl,entropy,learning_rate,step_time_s
1,0.0044,0.6425,0.02127,9.686e-08,0,0.3266,0,77.7
2,0.0089,0.6665,0.02794,4.289e-07,0,0.3338,4.762e-06,111.0
3,0.0133,0.6649,0.03628,5.319e-05,0.0005321,0.3645,9.524e-06,125.9
4,0.0178,0.6343,0.11070,5.854e-05,0.0005863,0.3072,1.429e-05,84.0
5,0.0222,0.6260,0.10770,7.051e-05,0.0007117,0.3250,1.905e-05,84.7
6,0.0267,0.6533,0.02169,6.221e-05,0.000619,0.3254,2.381e-05,112.3
7,0.0311,0.6553,0.03673,6.111e-05,0.0006097,0.3252,2.857e-05,84.0
8,0.0356,0.6667,0.03708,7.071e-05,0.000708,0.3080,3.333e-05,93.6
9,0.0400,0.6481,0.02317,0.0001051,0.001057,0.2986,3.81e-05,81.8
10,0.0444,0.6864,0.05364,0.0001039,0.001039,0.3501,4.286e-05,99.0
11,0.0489,0.6759,0.02993,0.0002836,0.002855,0.2936,4.762e-05,125.0
12,0.0533,0.6839,0.03676,0.0003852,0.003854,0.3185,5.238e-05,94.7
13,0.0578,0.6821,0.02701,0.0005468,0.005466,0.3053,5.714e-05,123.6
14,0.0622,0.6800,0.02804,0.0005842,0.005832,0.4003,6.19e-05,113.0
15,0.0667,0.6819,0.03672,0.0009457,0.009448,0.3250,6.667e-05,90.0
16,0.0711,0.6882,0.03541,0.001107,0.01107,0.3391,7.143e-05,106.3
17,0.0756,0.7055,0.03967,0.001415,0.01415,0.2932,7.619e-05,99.0
18,0.0800,0.6960,0.04175,0.001482,0.01482,0.3514,8.095e-05,125.4
19,0.0844,0.7025,0.03923,0.001885,0.01884,0.4164,8.571e-05,120.3
20,0.0889,0.7223,0.03943,0.002884,0.02884,0.3406,9.048e-05,124.0
21,0.0933,0.7219,0.03540,0.00184,0.01841,0.2723,9.524e-05,105.8
22,0.0978,0.7199,0.03951,0.001893,0.01893,0.2943,0.0001,121.3
23,0.1022,0.7176,0.03326,0.002423,0.02423,0.3150,0.0001,110.2
24,0.1067,0.7046,0.03087,0.002187,0.02186,0.3384,0.0001,117.1
25,0.1111,0.7255,0.04254,0.002194,0.02194,0.3272,9.999e-05,97.1
26,0.1156,0.7438,0.03983,0.002464,0.02465,0.3179,9.999e-05,113.5
27,0.1200,0.7354,0.03427,0.004168,0.04169,0.3178,9.999e-05,121.6
28,0.1244,0.7132,0.04579,0.002632,0.02633,0.3486,9.998e-05,99.5
29,0.1289,0.7271,0.02389,0.003541,0.0354,0.3127,9.997e-05,123.5
30,0.1333,0.7202,0.04055,0.002347,0.02348,0.3397,9.996e-05,124.0
31,0.1378,0.7057,0.04841,0.002055,0.02055,0.4546,9.995e-05,130.0
32,0.1422,0.7155,0.04097,0.002785,0.02786,0.3592,9.994e-05,104.6
33,0.1467,0.7236,0.04478,0.00327,0.0327,0.3700,9.993e-05,102.0
34,0.1511,0.7195,0.03422,0.003718,0.03718,0.3928,9.992e-05,98.9
35,0.1556,0.6897,0.04680,0.002417,0.02417,0.3317,9.99e-05,86.9
36,0.1600,0.6899,0.03683,0.003326,0.03327,0.3900,9.989e-05,95.7
37,0.1644,0.7091,0.05135,0.002707,0.02707,0.4116,9.987e-05,108.8
38,0.1689,0.6936,0.05169,0.002819,0.02819,0.4530,9.985e-05,99.0
39,0.1733,0.6809,0.03534,0.003028,0.03029,0.4972,9.983e-05,101.8
40,0.1778,0.6917,0.04016,0.004544,0.04544,0.4291,9.981e-05,103.3
41,0.1822,0.6848,0.02704,0.002489,0.0249,0.4206,9.979e-05,116.2
42,0.1867,0.7103,0.03813,0.002561,0.02562,0.4821,9.977e-05,121.7
43,0.1911,0.7144,0.03740,0.002438,0.02439,0.3668,9.974e-05,99.3
44,0.1956,0.7319,0.02652,0.003278,0.03278,0.3397,9.972e-05,119.3
45,0.2000,0.7146,0.04282,0.002614,0.02614,0.4488,9.969e-05,108.9
46,0.2044,0.7234,0.02859,0.003478,0.03478,0.3195,9.967e-05,103.9
47,0.2089,0.7018,0.04017,0.003356,0.03356,0.2841,9.964e-05,90.4
48,0.2133,0.7141,0.03319,0.004788,0.04787,0.3938,9.961e-05,105.8
49,0.2178,0.7284,0.03587,0.003509,0.0351,0.3603,9.958e-05,98.1
50,0.2222,0.7145,0.03902,0.003009,0.03009,0.3211,9.954e-05,101.0
51,0.2267,0.7166,0.03906,0.002949,0.02949,0.3179,9.951e-05,105.1
52,0.2311,0.7197,0.02885,0.002663,0.02663,0.3271,9.948e-05,119.2
53,0.2356,0.7310,0.02969,0.002421,0.02422,0.2988,9.944e-05,104.8
54,0.2400,0.7183,0.02775,0.003471,0.0347,0.3202,9.941e-05,97.7
55,0.2444,0.7101,0.03360,0.003626,0.03626,0.3213,9.937e-05,118.1
56,0.2489,0.7187,0.03661,0.003253,0.03253,0.3432,9.933e-05,121.1
57,0.2533,0.7364,0.04634,0.003593,0.03593,0.3693,9.929e-05,118.7
58,0.2578,0.7334,0.03303,0.0055,0.05499,0.3550,9.925e-05,108.1
59,0.2622,0.7390,0.02553,0.003178,0.03179,0.3739,9.921e-05,122.0
60,0.2667,0.7315,0.04007,0.003143,0.03142,0.3994,9.916e-05,127.0
61,0.2711,0.7426,0.03223,0.003862,0.03862,0.3694,9.912e-05,122.8
62,0.2756,0.7578,0.03518,0.003238,0.03238,0.3361,9.907e-05,102.7
63,0.2800,0.7425,0.02339,0.004044,0.04043,0.2988,9.902e-05,113.4
64,0.2844,0.7455,0.04458,0.004913,0.04914,0.3727,9.898e-05,109.1
65,0.2889,0.7682,0.02941,0.00413,0.04131,0.3967,9.893e-05,120.3
66,0.2933,0.7452,0.03801,0.004557,0.04557,0.3502,9.888e-05,116.1
67,0.2978,0.7447,0.03914,0.005263,0.05262,0.3500,9.883e-05,120.4
68,0.3022,0.7472,0.04881,0.006983,0.06983,0.3749,9.877e-05,120.0
69,0.3067,0.7273,0.05217,0.00479,0.0479,0.3760,9.872e-05,124.4
70,0.3111,0.7286,0.04567,0.005269,0.05268,0.4152,9.866e-05,123.8
71,0.3156,0.7813,0.03738,0.005414,0.05413,0.3961,9.861e-05,115.4
72,0.3200,0.7225,0.03413,0.004148,0.04146,0.4456,9.855e-05,113.8
73,0.3244,0.7169,0.03067,0.003734,0.03734,0.4000,9.849e-05,109.4
74,0.3289,0.7421,0.02898,0.003782,0.03782,0.4450,9.843e-05,112.2
75,0.3333,0.7220,0.05965,0.004433,0.04433,0.5134,9.837e-05,123.6
76,0.3378,0.6955,0.03716,0.004457,0.04457,0.3756,9.831e-05,124.8
77,0.3422,0.7198,0.04917,0.005269,0.05269,0.4372,9.825e-05,100.3
78,0.3467,0.7318,0.04675,0.00518,0.0518,0.4832,9.819e-05,103.1
79,0.3511,0.7263,0.04403,0.004661,0.04661,0.4548,9.812e-05,108.1
80,0.3556,0.7149,0.04723,0.005449,0.0545,0.4059,9.805e-05,103.0
81,0.3600,0.7500,0.04408,0.004329,0.04328,0.4674,9.799e-05,105.9
82,0.3644,0.7427,0.03094,0.005341,0.0534,0.4273,9.792e-05,104.8
83,0.3689,0.7635,0.03397,0.005286,0.05285,0.5230,9.785e-05,111.2
84,0.3733,0.7473,0.03932,0.006131,0.06131,0.3993,9.778e-05,105.0
85,0.3778,0.7347,0.02871,0.004875,0.04875,0.4386,9.771e-05,118.0
86,0.3822,0.7394,0.03778,0.004313,0.04313,0.4558,9.763e-05,117.8
87,0.3867,0.7404,0.03518,0.004874,0.04874,0.3877,9.756e-05,107.7
88,0.3911,0.7573,0.03205,0.005596,0.05596,0.4573,9.749e-05,117.7
89,0.3956,0.7401,0.03089,0.004558,0.0456,0.4892,9.741e-05,120.1
90,0.4000,0.7616,0.03565,0.006889,0.06889,0.4483,9.733e-05,99.0
