step,reward,reward_std,kl,entropy,mean_length,max_length,clipped_ratio,grad_norm,loss,step_time
1,0.6438,0.02308,0,0.3158,247.8,320,0,0.07471,6.072e-07,76.86
2,0.6555,0.02547,0,0.3452,291.2,585,0,0.09863,3.856e-07,136.9
3,0.6505,0.01688,0.0005711,0.3222,245.9,307,0,0.1582,5.572e-05,77.3
4,0.6499,0.02559,0.0004798,0.3089,258,325,0,0.1582,4.866e-05,81.74
5,0.6429,0.01462,0.000558,0.3095,241.3,350,0,0.0874,5.637e-05,90.55
6,0.6408,0.02156,0.0006854,0.3432,254.4,391,0,0.09277,6.805e-05,95.54
7,0.6589,0.03588,0.0005317,0.332,261.8,314,0,0.1138,5.275e-05,80.07
8,0.6194,0.1068,0.0007838,0.283,256.8,366,0,0.1177,7.915e-05,91.29
9,0.6505,0.01984,0.001013,0.3255,252.5,313,0,0.1445,0.0001005,80.23
10,0.6745,0.03348,0.001201,0.3207,270.8,407,0,0.25,0.0001207,102.1
11,0.6743,0.0288,0.002264,0.288,268.9,328,0,0.0835,0.0002257,80.43
12,0.6796,0.02617,0.002615,0.3475,326.2,488,0,0.09717,0.0002606,118.5
13,0.6697,0.02768,0.006526,0.2788,297.4,425,0,0.09326,0.0006524,103.9
14,0.6812,0.03892,0.009664,0.3772,340.2,658,0,0.09375,0.0009666,153.1
15,0.6627,0.03037,0.005991,0.2948,285.5,398,0,0.08105,0.0005991,100.8
16,0.6776,0.03613,0.01078,0.308,306.4,455,0,0.09961,0.001079,113.3
17,0.6879,0.02944,0.02675,0.225,275.3,335,0,0.09521,0.002675,86.98
18,0.6923,0.04525,0.01822,0.3011,286.6,373,0,0.1006,0.001822,93.77
19,0.6775,0.02083,0.01756,0.3788,280.6,358,0,0.1143,0.001756,89.34
20,0.7036,0.03107,0.01877,0.287,326.7,397,0,0.1035,0.001877,99.52
21,0.7187,0.03048,0.02433,0.2673,299.8,417,0,0.1035,0.002433,104.1
22,0.72,0.03425,0.02989,0.2893,301.7,466,0,0.09424,0.002989,112.7
23,0.7188,0.03726,0.09553,0.3962,349.3,478,0,0.5586,0.009552,116.1
24,0.7253,0.01846,0.02898,0.3319,299.1,422,0,0.08643,0.002899,102.7
25,0.7374,0.04639,0.02901,0.3234,296.1,438,0,0.09619,0.002901,105.8
26,0.7237,0.04906,0.04198,0.3402,280.3,449,0,0.1592,0.004199,109.4
27,0.7016,0.04339,0.01873,0.3263,298.3,403,0,0.0957,0.001873,99.29
28,0.7016,0.04688,0.01998,0.3297,257,336,0,0.09229,0.001998,84.14
29,0.6847,0.03481,0.02105,0.3074,263.2,358,0,0.1167,0.002107,87.75
30,0.6875,0.03763,0.02288,0.3204,275.6,491,0,0.09863,0.002288,121
31,0.6934,0.03874,0.01615,0.4121,323.4,617,0,0.08154,0.001615,151.1
32,0.7108,0.04698,0.01911,0.3433,284.3,471,0,0.1016,0.001911,111.9
33,0.7103,0.03548,0.01606,0.3479,286.6,369,0,0.1138,0.001606,90.84
34,0.7013,0.03352,0.02137,0.3461,278.9,441,0,0.07373,0.002137,106.3
35,0.6945,0.03553,0.03119,0.3306,274.9,343,0,0.1094,0.00312,86.3
36,0.717,0.03627,0.04193,0.3595,303.5,471,0,0.1118,0.004193,115.1
37,0.7335,0.03716,0.0639,0.3936,341.8,476,0,0.208,0.006389,117.3
38,0.7129,0.03092,0.02244,0.4037,348.4,503,0,0.06885,0.002244,122.1
39,0.701,0.02513,0.02861,0.4302,338.7,466,0,0.07324,0.002858,112.9
40,0.7331,0.03211,0.02303,0.4425,357.6,523,0,0.06128,0.002303,129.6
41,0.7169,0.03549,0.02863,0.4717,369.9,477,0,0.1523,0.002863,119.3
42,0.7378,0.0315,0.03102,0.5158,433,567,0,0.06689,0.003101,133.7
43,0.7387,0.05484,0.03393,0.4587,355,558,0,0.06738,0.003393,131.7
44,0.7211,0.04867,0.03267,0.4501,376.2,497,0,0.0708,0.003267,120.5
45,0.7165,0.03802,0.03682,0.5438,370,571,0,0.06836,0.003682,136.2
46,0.7155,0.03531,0.05206,0.4872,346,490,0,0.08496,0.005206,119.4
47,0.7298,0.03166,0.04188,0.4656,351.6,466,0,0.06689,0.004189,111.5
48,0.6986,0.04265,0.0489,0.6185,373.7,496,0,0.07861,0.00489,122.7
49,0.7245,0.02744,0.06432,0.5032,344.7,435,0,0.08154,0.006431,107.9
50,0.7068,0.03665,0.07309,0.4553,312,406,0,0.09375,0.007309,100.4
51,0.7096,0.04271,0.07412,0.4118,323.7,482,0,0.1396,0.007412,114.7
52,0.7072,0.04497,0.03439,0.4529,350.8,488,0,0.07129,0.003439,116
53,0.7067,0.04271,0.0366,0.3617,265.8,333,0,0.1001,0.00366,84.52
54,0.7337,0.04231,0.04248,0.3835,297.8,435,0,0.08008,0.004248,106.5
55,0.7103,0.05858,0.02852,0.4158,293,431,0,0.1216,0.002852,105.4
56,0.6896,0.02987,0.0266,0.3976,289,392,0,0.08301,0.002659,97.75
57,0.7151,0.05632,0.03075,0.3919,314.8,558,0,0.08838,0.003075,137
58,0.6925,0.02667,0.03449,0.3001,261.2,296,0,0.07617,0.003449,77.64
59,0.6905,0.03413,0.04614,0.2876,269.8,318,0,0.1201,0.004614,79.54
60,0.6991,0.04197,0.03607,0.2975,271.4,373,0,0.08252,0.003607,93.84
61,0.6948,0.03155,0.03368,0.3478,277.7,499,0,0.09131,0.003368,117.9
62,0.6894,0.03081,0.03172,0.2835,273.2,519,0,0.09277,0.003172,125.2
63,0.6946,0.06063,0.0393,0.2653,246.2,326,0,0.1089,0.00393,82.11
64,0.6951,0.03998,0.03453,0.2928,245.8,320,0,0.1001,0.003453,82.91
65,0.7275,0.03909,0.02931,0.3704,272.2,425,0,0.1084,0.002931,102.6
66,0.711,0.03539,0.0253,0.2963,256.4,284,0,0.09668,0.00253,75.76
67,0.7245,0.04124,0.0544,0.2862,240.2,344,0,0.09863,0.00544,86.73
68,0.7127,0.0354,0.03038,0.3359,296.6,399,0,0.09473,0.003038,97.11
69,0.7183,0.02874,0.03134,0.2976,252.4,328,0,0.09521,0.003135,83.72
70,0.7344,0.04657,0.03372,0.3324,292.8,534,0,0.1084,0.003372,126.7
71,0.7376,0.03546,0.0293,0.3013,293.4,373,0,0.08789,0.00293,96.05
72,0.7297,0.04292,0.03119,0.381,313.6,402,0,0.0874,0.003119,100
73,0.7239,0.02814,0.02293,0.3198,294.1,462,0,0.08008,0.002294,110.6
74,0.7311,0.04042,0.02586,0.4111,348.7,632,0,0.07715,0.002586,153.6
75,0.737,0.03555,0.03156,0.3675,332.6,513,0,0.06543,0.003156,125.1
76,0.7211,0.05129,0.0323,0.3125,316.4,495,0,0.06982,0.00323,118.9
77,0.7325,0.03378,0.02938,0.3325,297.7,361,0,0.06934,0.002938,89.97
78,0.7046,0.02344,0.03202,0.3717,337.4,419,0,0.1445,0.003202,103
79,0.7528,0.02719,0.03565,0.3396,301.5,400,0,0.07324,0.003565,98.9
80,0.7433,0.05454,0.1114,0.2779,287.1,409,0,0.3535,0.01114,100.1
81,0.7236,0.05281,0.04799,0.3582,293.6,548,0,0.0791,0.0048,130.3
82,0.7193,0.05248,0.03926,0.4318,306.8,396,0,0.07031,0.003926,97.72
83,0.7165,0.07623,0.04813,0.4293,280.6,505,0,0.08887,0.004813,120
84,0.6811,0.04722,0.04864,0.3805,274.6,392,0,0.0957,0.004864,96.61
85,0.7013,0.06317,0.04403,0.4949,306.8,421,0,0.07666,0.004403,104.9
86,0.7268,0.05926,0.05152,0.5178,314.3,462,0,0.08643,0.005151,111.2
87,0.6737,0.1752,0.06152,0.4323,256.2,434,0,0.3809,0.006152,105
88,0.7176,0.0451,0.06125,0.5238,297.2,488,0,0.08789,0.006125,117.5
89,0.7282,0.06373,0.06029,0.5005,307.7,506,0,0.07324,0.006029,119.2
