step,reward,mean_length,kl,step_time,grad_norm,lr
1,0.6446,248.4,,73.27,0.09277,
2,0.6369,260.0,,102.9,0.09668,4.762e-06
3,0.6579,282.2,0.0006545,98.17,0.09473,9.524e-06
4,0.6648,252.5,0.0005563,75.46,0.1416,1.429e-05
5,0.6539,255.7,0.0006931,80.23,0.1143,1.905e-05
6,0.6375,234.5,0.0005804,74.4,0.127,2.381e-05
7,0.6434,277.2,0.0005246,85.01,0.105,2.857e-05
8,0.653,248.0,0.0008789,98.22,0.09961,3.333e-05
9,0.647,278.4,0.00145,85.1,0.08789,3.81e-05
10,0.6562,240.6,0.003059,75.65,0.167,4.286e-05
11,0.6611,245.0,0.008849,72.11,0.1084,4.762e-05
12,0.6359,309.8,0.006424,113.3,0.1011,5.238e-05
13,0.6739,279.4,0.00792,95.89,0.1069,5.714e-05
14,0.6565,256.3,0.006889,87.26,0.1162,6.19e-05
15,0.6965,347.9,0.008165,111.7,0.0918,6.667e-05
16,0.6705,302.6,0.009432,105.1,0.1113,7.143e-05
17,0.7167,327.4,0.01789,95.26,0.08594,7.619e-05
18,0.6935,275.1,0.02317,90.28,0.106,8.095e-05
19,0.7181,320.9,0.02231,116.5,0.104,8.571e-05
20,0.7389,339.1,0.01561,104.9,0.08496,9.048e-05
21,0.7429,359.4,0.02874,112.7,0.09766,9.524e-05
22,0.7466,353.9,0.03587,108.4,0.09668,0.0001
23,0.7358,383.9,0.03475,124.3,0.08838,0.0001
24,0.7401,379.4,0.04585,124.0,0.1167,0.0001
25,0.7413,371.9,0.03435,123.7,0.07373,9.999e-05
26,0.7576,352.2,0.04313,98.08,0.1108,9.999e-05
27,0.732,383.4,0.03703,124.6,0.09277,9.999e-05
28,0.7217,370.9,0.03815,117.0,0.0874,9.998e-05
29,0.7481,386.9,0.03276,123.9,0.07324,9.997e-05
30,0.7533,328.9,0.03609,100.5,0.06982,9.996e-05
31,0.7589,352.1,0.03596,111.2,0.07715,9.995e-05
32,0.7489,366.4,0.03177,105.8,0.07031,9.994e-05
33,0.7711,363.8,0.02836,125.5,0.06543,9.993e-05
34,0.7228,336.9,0.05297,108.0,0.09521,9.992e-05
35,0.7191,364.9,0.02962,120.8,0.08447,9.99e-05
36,0.7454,342.7,0.03327,103.1,0.08789,9.989e-05
37,0.7334,331.6,0.03427,97.28,0.07812,9.987e-05
38,0.7157,314.1,0.03675,107.1,0.08203,9.985e-05
39,0.7569,372.2,0.01981,119.9,0.07324,9.983e-05
40,0.7213,333.5,0.03316,98.85,0.1104,9.981e-05
41,0.75,331.5,0.03585,99.57,0.07373,9.979e-05
42,0.7544,322.3,0.03137,105.5,0.07275,9.977e-05
43,0.7539,351.6,0.03129,105.1,0.09912,9.974e-05
44,0.7336,290.6,0.05665,88.17,0.1641,9.972e-05
45,0.7581,327.8,0.04015,100.7,0.09375,9.969e-05
46,0.752,337.8,0.08695,95.91,0.3008,9.967e-05
47,0.7338,308.2,0.0271,94.89,0.0835,9.964e-05
48,0.7082,329.1,0.03765,108.7,0.08203,9.961e-05
49,0.7664,308.0,0.03814,93.33,0.08691,9.958e-05
50,0.7254,292.6,0.03657,90.33,0.09424,9.954e-05
51,0.7512,280.7,0.03781,81.59,0.08008,9.951e-05
52,0.7516,289.1,0.04959,81.51,0.08496,9.948e-05
53,0.7272,290.0,0.0458,88.6,0.0918,9.944e-05
54,0.7402,289.6,0.04459,88.05,0.07471,9.941e-05
55,0.7378,295.6,0.05046,92.43,0.08545,9.937e-05
56,0.7215,299.8,0.04982,99.57,0.08008,9.933e-05
57,0.7459,304.8,0.07616,85.25,0.1465,9.929e-05
58,0.742,300.9,0.0526,92.31,0.09473,9.925e-05
59,0.7204,306.4,0.04742,109.1,0.07764,9.921e-05
60,0.7563,347.5,0.06748,108.7,0.07617,9.916e-05
61,0.7432,403.3,0.04414,123.9,0.09961,9.912e-05
62,0.7506,369.4,0.06197,124.9,0.09375,9.907e-05
63,0.7294,275.8,0.07582,85.72,0.1328,9.902e-05
64,0.7528,335.6,0.04991,125.8,0.0752,9.898e-05
65,0.731,356.8,0.06253,125.1,0.07471,9.893e-05
66,0.7559,345.5,0.05921,103.8,0.08008,9.888e-05
67,0.7439,348.9,0.0703,107.6,0.09131,9.883e-05
68,0.7582,362.2,0.05412,126.4,0.07129,9.877e-05
69,0.7556,331.4,0.04755,109.1,0.126,9.872e-05
70,0.7228,308.6,0.06727,118.4,0.08447,9.866e-05
71,0.7604,291.8,0.0731,88.68,0.08203,9.861e-05
72,0.7536,339.9,0.07691,98.61,0.08838,9.855e-05
73,0.752,313.9,0.05616,91.86,0.08008,9.849e-05
74,0.7611,336.9,0.05482,98.01,0.08057,9.843e-05
75,0.7266,316.9,0.06158,87.72,0.1016,9.837e-05
76,0.7492,291.9,0.06434,86.97,0.06885,9.831e-05
77,0.727,299.4,0.06614,106.6,0.08838,9.825e-05
78,0.751,317.9,0.06446,98.95,0.0835,9.819e-05
79,0.7472,303.4,0.1828,92.79,0.416,9.812e-05
80,0.7338,292.4,0.0826,98.41,0.08008,9.805e-05
81,0.7161,301.2,0.2212,104.5,0.582,9.799e-05
82,0.6889,344.2,0.09228,116.1,0.08301,9.792e-05
83,0.7139,302.1,0.1069,103.0,0.07666,9.785e-05
